TITLE,BRAND,MODEL,RAM(GB),ROM(GB),DISPLAY_SIZE(inch),CONNECTIVITY_TYPE,REAR_CAMERA(MP),FRONT_CAMERA(MP),BATTERY(mAh),VERSION,WARRENTY,RATINGS,REVIEWS_COUNT,ORIGINAL_PRICE(INR),FINAL_PRICE(INR),DISCOUNT_PERCENT,EXCHANGE_DISCOUNT_PRICE(INR)
samsung galaxy tab s9 fe+ 12 gb ram 256 gb rom 12.4 inch with wi-fi only tablet (mint),samsung,galaxy tab s9 fe+,12,256,12.4,wi-fi only,8.0,12.0,10090,android,1,4.6,1047,69999,55999,20,0
oneplus pad 2 12 gb ram 256 gb rom 12.1 inch with wi-fi only tablet (nimbus gray),oneplus,pad 2,12,256,12.1,wi-fi only,13.0,8.0,9510,android,1,4.6,140,47999,36999,22,27500
lenovo tab m11 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (seafoam green),lenovo,tab m11,8,128,11.0,wi-fi only,13.0,8.0,7040,android,1,4.3,434,31000,14999,51,11200
redmi  pad pro 5g 8 gb ram 128 gb rom 12.1 inch with wi-fi+5g tablet (quick silver),redmi,pad pro 5g,8,128,12.1,wi-fi+sim,8.0,8.0,10000,android,1,4.4,425,26999,23999,11,18300
samsung galaxy tab s9 fe 6 gb ram 128 gb rom 10.9 inch with wi-fi+5g tablet (silver),samsung,galaxy tab s9 fe,6,128,10.9,wi-fi+sim,8.0,12.0,10090,android,1,4.5,226,54999,34499,37,0
realme pad mini 4 gb ram 64 gb rom 8.7 inch with 4g tablet (grey),realme,pad mini,4,64,8.7,wi-fi+sim,8.0,5.0,6400,android,1,4.3,1808,23999,13399,44,10050
realme pad 2 lite 4 gb ram 128 gb rom 10.95 inch with 4g tablet (space grey),realme,pad 2 lite,4,128,10.95,wi-fi+sim,8.0,5.0,8300,android,1,4.4,923,20999,14999,28,11200
poco pad 5g 8 gb ram 256 gb rom 12.1 inch with wi-fi+5g tablet (pistachio green),poco,pad 5g,8,256,12.1,wi-fi+sim,8.0,8.0,10000,android,1,4.4,744,32999,25999,21,20000
oneplus pad 12 gb ram 256 gb rom 11.61 inch with wi-fi only tablet (halo green),oneplus,pad,12,256,11.61,wi-fi only,13.0,8.0,9510,android,1,4.6,606,39999,28999,27,22150
xiaomi pad 6 6 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (graphite grey),xiaomi,pad 6,6,128,11.0,wi-fi only,13.0,8.0,8840,android,1,4.6,1084,39999,23899,40,18300
redmi  pad pro 6 gb ram 128 gb rom 12.1 inch with wi-fi only tablet (mist blue),redmi,pad pro,6,128,12.1,wi-fi only,8.0,8.0,10000,android,1,4.4,104,24999,20999,16,15500
oneplus pad 3 12 gb ram 256 gb rom 13.2 inch with wi-fi only tablet (storm blue),oneplus,pad 3,12,256,13.2,wi-fi only,13.0,8.0,12140,others,1,4.6,26,49999,47999,4,0
poco pad 5g 8 gb ram 128 gb rom 12.1 inch with wi-fi+5g tablet (pistachio green),poco,pad 5g,8,128,12.1,wi-fi+sim,8.0,8.0,10000,android,1,4.4,744,30999,21999,29,16700
samsung galaxy tab a9 4 gb ram 64 gb rom 8.7 inch with wi-fi+5g tablet (navy),samsung,galaxy tab a9,4,64,8.7,wi-fi+sim,8.0,2.0,5100,android,1,4.3,102,19999,15999,20,0
realme pad 2 6 gb ram 128 gb rom 11.5 inch with wi-fi only tablet (inspiration green),realme,pad 2,6,128,11.5,wi-fi only,8.0,5.0,8360,android,1,4.4,2767,24999,14999,40,11200
samsung galaxy tab s9 fe 6 gb ram 128 gb rom 10.9 inch with wi-fi only tablet (mint),samsung,galaxy tab s9 fe,6,128,10.9,wi-fi only,8.0,12.0,10090,android,1,4.5,226,44999,27999,37,20900
samsung galaxy tab s9 fe 8 gb ram 256 gb rom 10.9 inch with wi-fi+5g tablet (lavender),samsung,galaxy tab s9 fe,8,256,10.9,wi-fi+sim,8.0,12.0,10090,android,1,4.5,226,61999,39999,35,29950
xiaomi pad 6 8 gb ram 256 gb rom 11.0 inch with wi-fi only tablet (graphite grey),xiaomi,pad 6,8,256,11.0,wi-fi only,13.0,8.0,8840,android,1,4.6,1084,41999,26499,36,20000
lenovo tablet m9 4 gb ram 64 gb rom 9 inch with wi-fi only tablet (arctic grey),lenovo,tablet m9,4,64,9.0,wi-fi only,8.0,2.0,5100,android,1,4.2,100,20000,10499,47,7800
lenovo tab m11 lte 8 gb ram 128 gb rom 11 inch with wi-fi+4g tablet (seafoam green),lenovo,tab m11 lte,8,128,11.0,wi-fi+sim,8.0,12.0,7100,unknown,1,4.6,0,33000,15537,52,0
oneplus pad 3 12 gb ram 256 gb rom 13.2 inch with wi-fi only tablet (frosted silver),oneplus,pad 3,12,256,13.2,wi-fi only,13.0,8.0,12140,others,1,4.6,26,49999,47999,4,37300
realme pad 2 lite 8 gb ram 128 gb rom 10.95 inch with 4g tablet (space grey),realme,pad 2 lite,8,128,10.95,wi-fi+sim,8.0,5.0,8300,android,1,4.4,923,24999,16999,32,12850
realme pad x 4 gb ram 64 gb rom 11 inch with wi-fi only tablet (glowing grey),realme,pad x,4,64,11.0,wi-fi only,13.0,8.0,8340,android,1,4.4,1171,29999,14990,50,11200
samsung galaxy tab s9 fe 6 gb ram 128 gb rom 10.9 inch with wi-fi only tablet (silver),samsung,galaxy tab s9 fe,6,128,10.9,wi-fi only,8.0,12.0,10090,android,1,4.5,226,44999,27999,37,20900
samsung galaxy tab a9 4 gb ram 64 gb rom 8.7 inch with wi-fi only tablet (navy),samsung,galaxy tab a9,4,64,8.7,wi-fi only,8.0,2.0,5100,android,1,4.3,102,14999,12999,13,9800
redmi pad se 4g 4 gb ram 64 gb rom 8.7 inch with 4g tablet (urban grey),redmi,pad se 4g,4,64,8.7,wi-fi+sim,8.0,5.0,6650,android,1,4.3,56,15999,9999,37,0
oppo pad se 6 gb ram 128 gb rom 10.95 inch with wi-fi+4g gaming tablet (starlight silver),oppo,pad se,6,128,10.95,wi-fi+sim,5.0,5.0,9340,android,1,4.4,151,20999,15999,23,12100
xiaomi pad 7 12 gb ram 256 gb rom 11.17 inch with wi-fi only gaming tablet (graphite grey),xiaomi,pad 7,12,256,11.17,wi-fi only,13.0,8.0,8850,android,1,4.5,186,37999,30999,18,23400
samsung galaxy tab a11 8 gb ram 128 gb rom 8.7 inch with wi-fi+5g gaming tablet (silver),samsung,galaxy tab a11,8,128,8.7,wi-fi+sim,8.0,5.0,5100,android,1,3.4,1,24999,19699,21,0
samsung galaxy tab a11 8 gb ram 128 gb rom 8.7 inch with wi-fi only gaming tablet (silver),samsung,galaxy tab a11,8,128,8.7,wi-fi only,8.0,5.0,5100,android,1,3.4,1,21999,17999,18,0
redmi pad se 4g 4 gb ram 128 gb rom 8.7 inch with 4g tablet (urban grey),redmi,pad se 4g,4,128,8.7,wi-fi+sim,8.0,5.0,6650,android,1,4.3,56,16999,10999,35,8150
oneplus pad 2 8 gb ram 128 gb rom 12.1 inch with wi-fi only tablet (nimbus gray),oneplus,pad 2,8,128,12.1,wi-fi only,13.0,8.0,9510,android,1,4.6,140,44999,33999,24,25700
samsung galaxy tab a11 8 gb ram 128 gb rom 8.7 inch with wi-fi+5g gaming tablet (gray),samsung,galaxy tab a11,8,128,8.7,wi-fi+sim,8.0,5.0,5100,android,1,3.4,1,24999,19699,21,0
realme pad 3 gb ram 32 gb rom 10.4 inch with 4g tablet (grey),realme,pad,3,32,10.4,wi-fi+sim,8.0,8.0,7100,android,1,4.4,5749,24999,10999,56,0
apple ipad (9th gen) 64 gb rom 10.2 inch with wi-fi only (silver),apple,unknown,4,64,10.2,wi-fi only,8.0,12.0,7100,ios,1,4.6,3685,32900,29999,8,22850
xiaomi pad 6 8 gb ram 256 gb rom 11.0 inch with wi-fi only tablet (mist blue),xiaomi,pad 6,8,256,11.0,wi-fi only,13.0,8.0,8840,android,1,4.6,1084,41999,26499,36,20000
xiaomi pad 7 8 gb ram 128 gb rom 11.17 inch with wi-fi only gaming tablet (mirage purple),xiaomi,pad 7,8,128,11.17,wi-fi only,13.0,8.0,8850,android,1,4.5,186,34999,27999,20,20900
apple ipad (10th gen) 64 gb rom 10.9 inch with wi-fi only (blue),apple,unknown,4,64,10.9,wi-fi only,12.0,12.0,7100,ipados,1,4.6,928,34900,26619,23,0
samsung galaxy tab s10 ultra 12 gb ram 256 gb rom 14.6 inch with wi-fi only gaming tablet (moonstone g...,samsung,galaxy tab s10 ultra,12,256,14.6,wi-fi only,13.0,12.0,11200,android,1,4.5,14,121999,99999,18,42600
lenovo tab m11 with pen 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (seafoam green),lenovo,tab m11 with pen,8,128,11.0,wi-fi only,13.0,8.0,7040,android,1,4.3,64,32999,17222,47,12850
samsung galaxy tab a9 4 gb ram 64 gb rom 8.7 inch with wi-fi only tablet (silver),samsung,galaxy tab a9,4,64,8.7,wi-fi only,8.0,2.0,5100,android,1,4.3,102,14999,12999,13,9800
samsung galaxy tab s9 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (beige),samsung,galaxy tab s9,8,128,11.0,wi-fi only,13.0,12.0,8400,android,0,4.7,134,81999,47999,41,0
redmi pad se 4g 4 gb ram 128 gb rom 8.7 inch with 4g tablet (ocean blue),redmi,pad se 4g,4,128,8.7,wi-fi+sim,8.0,5.0,6650,android,1,4.3,56,16999,10999,35,8150
lenovo tab m8 4 gb ram 64 gb rom 8 inch with 4g tablet (arctic grey),lenovo,tab m8,4,64,8.0,wi-fi+sim,8.0,2.0,5100,android,1,4.3,13,19000,9670,49,7150
apple 2025 ipad air (m3) 128 gb rom 11.0 inch with wi-fi only (blue),apple,unknown,4,128,11.0,wi-fi only,12.0,12.0,7100,ipados,1,4.5,14,59900,56999,4,42600
samsung galaxy tab s6 lite with stylus 4 gb ram 64 gb rom 10.4 inch with 4g tablet (oxford gray),samsung,galaxy tab s6 lite with stylus,4,64,10.4,wi-fi+sim,8.0,5.0,7040,android,1,4.5,1185,35999,24999,30,0
samsung galaxy tab a7 lite 3 gb ram 32 gb rom 8.7 inches with 4g tablet (grey),samsung,galaxy tab a7 lite,3,32,8.7,wi-fi+sim,8.0,2.0,5100,android,1,4.3,330,14990,11799,21,8800
samsung galaxy tab a9 4 gb ram 64 gb rom 8.7 inch with wi-fi only tablet (graphite),samsung,galaxy tab a9,4,64,8.7,wi-fi only,8.0,2.0,5100,android,1,4.3,102,14999,12490,16,9350
redmi pad 3 gb ram 64 gb rom 10.61 inch with wi-fi only tablet (graphite gray),redmi,pad,3,64,10.61,wi-fi only,8.0,8.0,8000,android,1,4.4,2066,16937,16937,0,0
redmi pad 6 gb ram 128 gb rom 10.61 inch with wi-fi only tablet (graphite gray),redmi,pad,6,128,10.61,wi-fi only,8.0,8.0,8000,android,1,4.4,2066,33999,18499,45,14050
redmi pad 4 gb ram 128 gb rom 10.61 inch with wi-fi only tablet (graphite gray),redmi,pad,4,128,10.61,wi-fi only,8.0,8.0,8000,android,1,4.4,2066,28999,12999,55,9800
apple ipad (10th gen) 64 gb rom 10.9 inch with wi-fi+5g (silver),apple,unknown,4,64,10.9,wi-fi+sim,12.0,12.0,7100,ipados,1,4.6,928,49900,47489,4,35000
samsung galaxy tab s9 fe 8 gb ram 256 gb rom 10.9 inch with wi-fi only tablet (mint),samsung,galaxy tab s9 fe,8,256,10.9,wi-fi only,8.0,12.0,10090,android,1,4.5,226,51999,33998,34,0
apple 2025 ipad (a16) 512 gb rom 11.0 inch with wi-fi+5g (blue),apple,unknown,4,512,11.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.7,573,79900,76029,4,42600
"baatu enable tablet, (india's 1st parental control tablet), 4 gb ram 64 gb rom 10.1 inch with wi-fi+4g...",baatu,"enable tablet, (india's 1st parental control tablet),",4,64,10.1,wi-fi+sim,8.0,5.0,6000,android,0,4.0,5,15999,7899,50,0
apple ipad mini (6th gen) 64 gb rom 8.3 inch with wi-fi+5g (space grey),apple,unknown,4,64,8.3,wi-fi+sim,12.0,12.0,7100,ios,1,4.6,95,64900,61759,4,0
apple ipad (10th gen) 64 gb rom 10.9 inch with wi-fi only (pink),apple,unknown,4,64,10.9,wi-fi only,12.0,12.0,7100,ipados,1,4.6,928,34900,26619,23,0
lenovo legion 12 gb ram 256 gb rom 8.8 inch with wi-fi only gaming tablet (storm grey),lenovo,legion,12,256,8.8,wi-fi only,13.0,8.0,6550,android,1,4.5,36,65000,34999,46,26550
samsung galaxy tab a9 4 gb ram 64 gb rom 8.7 inch with 4g tablet (silver),samsung,galaxy tab a9,4,64,8.7,wi-fi+sim,8.0,2.0,5100,android,1,4.3,102,19999,12999,35,9800
apple ipad (9th gen) 64 gb rom 10.2 inch with 4g (space grey),apple,unknown,4,64,10.2,wi-fi+sim,8.0,12.0,7100,ios,1,4.6,3685,45900,41399,9,31850
i kall n20-plus 4 gb ram 64 gb rom 10 inch with 4g tablet (green),i,kall n20-plus,4,64,10.0,wi-fi+sim,13.0,8.0,6000,android,1,3.6,2,11999,9069,24,0
apple 2025 ipad air (m3) 128 gb rom 13.0 inch with wi-fi+5g (purple),apple,unknown,4,128,13.0,wi-fi+sim,12.0,12.0,7100,ipados,1,4.4,3,94900,90309,4,42600
oneplus pad 8 gb ram 128 gb rom 11.61 inch with wi-fi only tablet (halo green),oneplus,pad,8,128,11.61,wi-fi only,13.0,8.0,9510,android,1,4.6,606,37999,31999,15,24700
lenovo tab m10 fhd 3rd gen 4 gb ram 64 gb rom 10.1 inch with 4g tablet (storm grey),lenovo,tab m10 fhd 3rd gen,4,64,10.1,wi-fi+sim,8.0,5.0,5100,android,1,4.2,321,30000,14649,51,11050
apple ipad mini (6th gen) 256 gb rom 8.3 inch with wi-fi+5g (space grey),apple,unknown,4,256,8.3,wi-fi+sim,12.0,12.0,7100,ios,1,4.6,95,79900,76029,4,0
apple ipad (9th gen) 64 gb rom 10.2 inch with wi-fi only (space grey),apple,unknown,4,64,10.2,wi-fi only,8.0,12.0,7100,ios,1,4.6,3685,32900,29999,8,22850
apple ipad (9th gen) 256 gb rom 10.2 inch with 4g (space grey),apple,unknown,4,256,10.2,wi-fi+sim,8.0,12.0,7100,ios,1,4.6,3685,60900,55999,8,42600
apple ipad (9th gen) 64 gb rom 10.2 inch with 4g (silver),apple,unknown,4,64,10.2,wi-fi+sim,8.0,12.0,7100,ios,1,4.6,3685,45900,42199,8,32300
apple ipad (9th gen) 256 gb rom 10.2 inch with 4g (silver),apple,unknown,4,256,10.2,wi-fi+sim,8.0,12.0,7100,ios,1,4.6,3685,60900,55799,8,42600
realme pad mini 6 gb ram 128 gb rom 8.7 inch with 4g tablet (grey),realme,pad mini,6,128,8.7,wi-fi+sim,8.0,5.0,6400,android,1,4.3,1808,25999,14399,44,10900
apple 2025 ipad pro (m5) 12 gb ram 256 gb rom 11.0 inch with wi-fi only (space black),apple,2025 ipad pro (m5),12,256,11.0,wi-fi only,12.0,12.0,7100,ios,0,4.6,0,99900,98729,1,0
